"focal_GC" "sister_GC" "delta_GC" "directionGC" "focal_metabolism" "sister_metabolism" "focal_isolation" "sister_isolation" "endoSymb_status"
"Rhodobacterale_jump26" 57 62.53 -5.53 "-1" NA "NA|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA" NA "NA|NA|NA|NA|water|NA|host|water|NA|NA|NA|NA" "0"
"Rhodobacterale_jump27" 71.12 62.71 8.41 "1" NA "NA|NA|NA|NA" NA "NA|NA|NA|NA" "0"
"Alpha1_jump1" 48.26 65.42 -17.16 "-1" NA "NA|anaerobic|microaerophilic|NA|NA|NA|anaerobic|facultative" NA "water|NA|host|host|NA|NA|NA|bioreactor/digester" "0"
"Alpha1_jump2" 47.94 60.8 -12.86 "-1" NA "NA|aerobic|NA|NA|facultative|facultative|NA|anaerobic" NA "NA|host|NA|NA|rock|rock|NA|compost" "0"
"Alpha1_jump3" 39.72 56.93 -17.21 "-1" NA NA NA NA "0"
"Alpha1_jump4" 65.16 47.79 17.37 "1" NA "NA|NA|NA|NA|NA|NA" NA "NA|NA|NA|NA|NA|NA" "0"
"Alpha1_jump5" 41.31 60.54 -19.23 "-1" NA "aerobic" NA "water" "0"
"Alpha1_jump6" 34.34 67.42 -33.08 "-1" "NA|NA" NA "sediment|sediment" NA "1"
"Alpha1_jump7" 36.76 58.03 -21.27 "-1" "aerobic|NA" "aerobic|aerobic|obligate aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|NA|aerobic|aerobic|NA|NA|obligate aerobic|NA|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|microaerophilic|obligate aerobic|aerobic|aerobic|NA|NA|NA|NA" "host|NA" "host|food|food|host|food|food|food|NA|host|food|food|host|NA|host|host|NA|NA|food|NA|host|food|food|NA|NA|bioreactor/digester|host|host|food|food|host|host|food|food|host|host|host|host" "0"
"Bacteroidale_jump1" 61.54 37.57 23.97 "1" NA NA NA NA "0"
"Bacteroidale_jump2" 60.12 46.78 13.34 "1" NA "NA|NA" NA "NA|NA" "0"
"Bacteroidale_jump3" 50.86 41.11 9.75 "1" "anaerobic|anaerobic" "NA|anaerobic|NA|anaerobic|NA" "host|host" "host|host|host|host|NA" "0"
"Cytophagale_jump1" 39.65 49.21 -9.56 "-1" "obligate aerobic" "NA|NA|NA|NA|NA" "water" "NA|soil|soil|NA|NA" "0"
"Cytophagale_jump2" 54.31 39.99 14.32 "1" NA "NA|NA|NA|NA" NA "NA|NA|NA|host" "0"
"Flavobacteriale_jump1" 42.11 39.1 3.01 "1" NA "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA" NA "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|sediment|NA|NA|NA|NA|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump2" 32.11 35.34 -3.23 "-1" "NA|anaerobic" NA "NA|NA" NA "0"
"Flavobacteriale_jump3" 42.79 38.35 4.44 "1" NA "NA|NA" NA "NA|NA" "0"
"Flavobacteriale_jump4" 49.47 42.81 6.66 "1" NA NA NA NA "0"
"Flavobacteriale_jump5" 35.31 39.99 -4.68 "-1" NA NA NA NA "0"
"Flavobacteriale_jump6" 49.7 38.97 10.73 "1" "NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|NA" "NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|sediment|NA" "0"
"Flavobacteriale_jump7" 59.51 49.7 9.81 "1" "NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump8" 65.32 59.08 6.23999999999999 "1" NA "NA|NA" NA "NA|NA" "0"
"Flavobacteriale_jump9" 54.4 49.7 4.7 "1" NA "NA|NA|NA|NA|NA|NA|NA" NA "NA|NA|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump10" 55.65 49.7 5.95 "1" "NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump11" 56.28 48.91 7.37 "1" "NA|NA" NA "NA|NA" NA "0"
"Flavobacteriale_jump12" 42.99 NA NA NA "NA|NA|NA|NA" "" "NA|NA|NA|NA" "" "0"
"Flavobacteriale_jump13" 58.36 NA NA NA "NA|NA|NA|NA" "" "NA|NA|NA|NA" "" "0"
"Flavobacteriale_jump14" 51.15 58.18 -7.03 "-1" NA NA NA NA "0"
"Flavobacteriale_jump15" 37.8 49.7 -11.9 "-1" "NA|NA" "NA|NA|NA|NA|NA|NA|NA" "NA|NA" "NA|NA|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump16" 49.15 39.76 9.39 "1" NA "NA|NA|NA" NA "NA|NA|NA" "0"
"Flavobacteriale_jump17" 44.58 37.54 7.04 "1" NA "NA|NA|NA" NA "NA|NA|NA" "0"
"Flavobacteriale_jump18" 41.71 45.04 -3.33 "-1" NA "NA|NA" NA "NA|NA" "0"
"Flavobacteriale_jump19" 54.65 45.48 9.17 "1" "NA|NA|NA|NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA|NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump20" 48.99 54.65 -5.66 "-1" NA "NA|NA" NA "NA|NA" "0"
"Flavobacteriale_jump21" 56.64 34.83 21.81 "1" NA "NA|aerobic|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|microaerophilic|microaerophilic|microaerophilic|NA|NA|aerobic|NA|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|obligate aerobic|NA|NA|NA|NA|facultative|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|aerobic|aerobic|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|NA|facultative|microaerophilic|NA|NA|microaerophilic|microaerophilic|microaerophilic|facultative|NA|NA|NA|facultative|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|facultative|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|facultative|NA|NA|facultative|NA|NA|aerobic|aerobic|aerobic|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|facultative|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|obligate aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA|NA|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|obligate aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|obligate aerobic|aerobic|facultative|NA|obligate aerobic|facultative|NA|NA|aerobic|aerobic|obligate aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|obligate aerobic|obligate aerobic|facultative|facultative|facultative|NA|NA|aerobic|NA|obligate aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|facultative|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|microaerophilic|NA|NA|NA|NA|NA" NA "NA|host|host|NA|NA|NA|host|host|host|NA|NA|NA|NA|NA|NA|soil|NA|NA|NA|NA|host|NA|water|NA|NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA|NA|soil|NA|NA|NA|NA|NA|water|NA|NA|NA|soil|wastewater|NA|soil|NA|NA|NA|NA|water|NA|milk|host|built|host|NA|food|food|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|host|host|host|NA|host|host|host|NA|NA|host|NA|NA|NA|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|sediment|NA|NA|water|NA|water|host|NA|NA|host|sediment|NA|host|water|NA|sediment|sediment|host|host|sediment|water|NA|NA|NA|sediment|water|water|NA|host|host|host|host|host|host|NA|host|NA|host|NA|host|NA|NA|NA|NA|NA|NA|host|NA|NA|host|sediment|host|NA|host|NA|NA|NA|NA|water|soil|NA|NA|NA|NA|biofilm|NA|NA|bioreactor/digester|host|sediment|NA|water|NA|NA|NA|water|host|water|water|NA|NA|soil|soil|NA|NA|host|NA|NA|sludge|NA|NA|NA|water|NA|NA|water|host|water|host|host|water|water|water|water|host|NA|soil|NA|soil|soil|biofilm|NA|NA|NA|NA|NA|NA|wastewater|NA|water|NA|NA|NA|soil|wastewater|NA|NA|water|NA|NA|NA|NA|wastewater|soil|host|host|NA|NA|host|NA|NA|NA|water|NA|NA|water|host|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|water|NA|NA|NA|NA|water|water|host|biofilm|water|NA|sediment|NA|NA|NA|NA|NA|NA|sediment|NA|water|sediment|host|water|NA|NA|water|water|water|water|NA|NA|NA|sediment|water|water|NA|NA|NA|NA|sediment|host|NA|water|water|water|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|water|biofilm|NA|NA|NA|water|water|NA|NA|water|water|NA|NA|sediment|NA|NA|water|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|water|water|host|rock|host|NA|water|soil|NA|NA|water|sediment|sediment|water|NA|NA|water|NA|NA|sediment|NA|host|host|NA|water|host|NA|host|host|NA|host|host|host|NA|NA|NA|NA|NA|NA|NA|host|water|host|water|water|NA|NA|NA|NA|NA|host|NA|water|NA|host|NA|water|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump22" 30.74 35.98 -5.24 "-1" NA "NA|aerobic|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|microaerophilic|microaerophilic|microaerophilic|NA|NA|aerobic|NA|aerobic|NA|NA|aerobic|NA" "host" "NA|host|host|NA|NA|NA|host|host|host|NA|NA|NA|NA|NA|NA|soil|NA|NA|NA|NA|host|NA|water|NA|NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA|NA|soil|NA|NA|NA|NA|NA|water|NA|NA|NA|soil|wastewater|NA|soil|NA|NA|NA|NA|water|NA|milk|host|built|host|NA|food|food|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|host|host|host|NA|host|host|host|NA|NA|host|NA|NA|NA|NA|host|NA" "0"
"Flavobacteriale_jump23" 30.2 32.66 -2.46 "-1" NA NA "host" NA "1"
"Flavobacteriale_jump24" 21.04 26.78 -5.74 "-1" "NA|NA" "aerobic|NA|NA|NA|NA|obligate aerobic|NA|NA" "host|host" "host|host|NA|NA|NA|host|host|host" "1"
"Flavobacteriale_jump25" 30.48 36.44 -5.96 "-1" NA "NA|NA|NA|NA|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|microaerophilic|microaerophilic" NA "NA|NA|NA|NA|NA|NA|soil|NA|NA|NA|NA|host|NA|water|NA|NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA|NA|soil|NA|NA|NA|NA|NA|water|NA|NA|NA|soil|wastewater|NA|soil|NA|NA|NA|NA|water|NA|milk|host|built|host|NA|food|food|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|host|host|host|NA|host|host" "0"
"Flavobacteriale_jump26" 42.3 36.46 5.84 "1" NA "NA|NA|NA|NA|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|obligate aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA" NA "NA|NA|NA|NA|NA|NA|soil|NA|NA|NA|NA|host|NA|water|NA|NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA|NA|soil|NA|NA|NA|NA|NA|water|NA|NA|NA|soil|wastewater|NA|soil|NA|NA|NA|NA|water|NA|milk|host|built|host|NA|food|food|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|host|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|host|host" "0"
"Flavobacteriale_jump27" 42.47 39.48 2.99 "1" NA NA NA NA "0"
"Flavobacteriale_jump28" 42.69 39.64 3.05 "1" NA "NA|NA" "water" "NA|NA" "0"
"Flavobacteriale_jump29" 44 36.27 7.73 "1" "NA|NA" "obligate aerobic|NA|aerobic|NA" "NA|NA" "soil|NA|NA|NA" "0"
"Flavobacteriale_jump30" 38.68 36.12 2.56 "1" NA "NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|NA" NA "NA|NA|biofilm|soil|NA|rock|NA|milk|NA|NA" "0"
"Flavobacteriale_jump31" 40.37 35.71 4.66 "1" NA "NA|NA" NA "NA|NA" "0"
"Flavobacteriale_jump32" 39.43 34.25 5.18 "1" "NA|aerobic" "NA|NA" "NA|host" "NA|NA" "0"
"Flavobacteriale_jump33" 32.36 36.08 -3.72 "-1" "NA|NA" "aerobic|NA" "NA|NA" "host|host" "0"
"Flavobacteriale_jump34" 45.09 36.26 8.83000000000001 "1" "microaerophilic" "aerobic" NA "host" "0"
"Flavobacteriale_jump35" 30 40.73 -10.73 "-1" NA "NA|NA|NA|NA|NA|NA" NA "NA|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump36" 48.87 39.4 9.47 "1" NA "obligate aerobic|obligate aerobic|NA|NA|NA|NA|facultative|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|aerobic|aerobic|obligate aerobic|NA|aerobic|aerobic|aerobic" NA "host|host|NA|NA|NA|NA|sediment|NA|NA|water|NA|water|host|NA|NA|host|sediment|NA|host|water|NA|sediment|sediment|host|host|sediment|water" "0"
"Flavobacteriale_jump37" 55.29 48.87 6.42 "1" "aerobic" NA "water" NA "0"
"Flavobacteriale_jump38" 37.06 41.88 -4.82 "-1" "aerobic" "obligate aerobic" "water" "host" "0"
"Flavobacteriale_jump39" 44.92 41.78 3.14 "1" NA "obligate aerobic|NA|NA|NA|NA|facultative|NA|NA" NA "host|NA|NA|NA|NA|sediment|NA|NA" "0"
"Flavobacteriale_jump40" 37.85 41.99 -4.14 "-1" "obligate aerobic" "obligate aerobic" "water" "host" "0"
"Flavobacteriale_jump41" 45.15 41.51 3.64 "1" "obligate aerobic" "NA|NA|facultative|NA|NA" "water" "NA|NA|sediment|NA|NA" "0"
"Flavobacteriale_jump42" 43.79 40.11 3.68 "1" NA "aerobic|aerobic|NA" NA "water|host|NA" "0"
"Flavobacteriale_jump43" 47.08 40.11 6.97 "1" "obligate aerobic" NA "host" NA "0"
"Flavobacteriale_jump44" 34.93 37.43 -2.5 "-1" "NA|NA|obligate aerobic|aerobic|NA|NA" "obligate aerobic" "NA|NA|water|water|NA|sediment" "host" "0"
"Flavobacteriale_jump45" 49.98 38.25 11.73 "1" NA "aerobic" NA "water" "0"
"Flavobacteriale_jump46" 44.17 38.32 5.85 "1" NA NA NA NA "0"
"Flavobacteriale_jump47" 44.8 36.74 8.06 "1" "obligate aerobic" "aerobic|NA|obligate aerobic" "sediment" "NA|sediment|water" "0"
"Flavobacteriale_jump48" 44.23 38.52 5.70999999999999 "1" "anaerobic" "facultative|NA|NA|NA|facultative" "host" "host|NA|host|NA|host" "0"
"Flavobacteriale_jump49" 41.01 34.05 6.96 "1" "obligate aerobic" "aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|facultative|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|facultative|NA|NA|facultative|NA|NA|aerobic|aerobic|aerobic|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA" "water" "host|NA|host|NA|NA|NA|NA|water|soil|NA|NA|NA|NA|biofilm|NA|NA|bioreactor/digester|host|sediment|NA|water|NA|NA|NA|water|host|water|water|NA|NA|soil|soil|NA|NA|host|NA|NA|sludge|NA|NA|NA|water|NA|NA|water|host|water|host|host|water|water|water|water|host|NA|soil|NA|soil|soil|biofilm|NA|NA|NA|NA|NA|NA|wastewater|NA" "0"
"Flavobacteriale_jump50" 36.98 33.86 3.12 "1" "obligate aerobic" NA "sediment" NA "0"
"Flavobacteriale_jump51" 35.61 33.66 1.95 "1" NA "aerobic" NA "host" "0"
"Flavobacteriale_jump52" 43.08 35.53 7.55 "1" "NA|NA" "NA|aerobic|aerobic|aerobic" "NA|NA" "NA|soil|soil|biofilm" "0"
"Flavobacteriale_jump53" 49.02 45.4 3.62 "1" NA NA NA NA "0"
"Flavobacteriale_jump54" 39.32 31.38 7.94 "1" "aerobic|aerobic|obligate aerobic|aerobic|aerobic|NA|aerobic|obligate aerobic|aerobic|NA" "aerobic|NA|NA|NA|obligate aerobic|facultative|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|obligate aerobic|aerobic|aerobic" "soil|soil|sediment|sediment|sediment|NA|host|water|water|sediment" "water|NA|NA|NA|soil|wastewater|NA|NA|water|NA|NA|NA|NA|wastewater|soil|host|host" "0"
"Flavobacteriale_jump55" 43.81 39.62 4.19 "1" "aerobic" "aerobic|obligate aerobic|aerobic" "host" "host|water|water" "0"
"Flavobacteriale_jump56" 33.23 37.71 -4.48 "-1" NA NA NA "sediment" "0"
"Flavobacteriale_jump57" 42.22 36.35 5.87 "1" "NA|NA" NA "NA|NA" NA "0"
"Flavobacteriale_jump58" 42.29 36.42 5.87 "1" NA "NA|NA" NA "NA|NA" "0"
"Flavobacteriale_jump59" 35.93 32.6 3.33 "1" "obligate aerobic" "NA|NA|aerobic|aerobic|aerobic|aerobic" "sediment" "NA|NA|NA|NA|water|water" "0"
"Flavobacteriale_jump60" 41.27 36.61 4.66 "1" "NA|obligate aerobic|facultative" "aerobic|NA|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA" "NA|soil|soil" "biofilm|water|NA|sediment|NA|NA|NA|NA|NA|NA|sediment|NA|water|sediment|host|water|NA" "0"
"Flavobacteriale_jump61" 39.78 36.8 2.98 "1" NA "aerobic|aerobic|NA|NA" NA "NA|NA|NA|NA" "0"
"Flavobacteriale_jump62" 42.14 37.07 5.07 "1" NA "NA|obligate aerobic|aerobic|aerobic|NA" NA "water|sediment|host|water|NA" "0"
"Flavobacteriale_jump63" 31.39 35.16 -3.77 "-1" "obligate aerobic" "aerobic" "host" "water" "0"
"Flavobacteriale_jump64" 39.66 35.14 4.52 "1" "NA|aerobic|NA" "obligate aerobic|aerobic|aerobic" "NA|sediment|NA" "water|water|NA" "0"
"Flavobacteriale_jump65" 38.49 33.48 5.01000000000001 "1" "NA|NA" "NA|obligate aerobic|NA|NA|NA|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA" "NA|NA" "water|biofilm|NA|NA|NA|water|water|NA|NA|water|water|NA|NA|sediment|NA|NA|water|NA|NA" "0"
"Flavobacteriale_jump66" 39.24 36.19 3.05 "1" "obligate aerobic" NA "sediment" NA "0"
"Flavobacteriale_jump67" 31.33 35.37 -4.04 "-1" NA NA NA NA "0"
"Flavobacteriale_jump68" 38.11 31.56 6.55 "1" NA NA NA NA "0"
"Flavobacteriale_jump69" 38.04 30.18 7.86 "1" NA "NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|facultative|aerobic|NA" NA "NA|NA|host|water|host|water|water|NA|NA|NA|NA|NA" "0"
"Flavobacteriale_jump70" 34.8 29.81 4.99 "1" "NA|aerobic" "NA|facultative" "NA|water" "NA|NA" "0"
"Flavobacteriale_jump71" 41.08 31.64 9.44 "1" NA "NA|aerobic|aerobic" NA "host|NA|water" "0"
"Flavobacteriale_jump72" 35.22 29.5 5.72 "1" "NA|NA" NA "NA|NA" NA "0"
"Flavobacteriale_jump73" 33.1 35.61 -2.51 "-1" NA "NA|NA" NA "NA|NA" "0"
"Pseudomonadale_jump1" 39.99 53.76 -13.77 "-1" NA "NA|NA" NA "NA|NA" "0"
"Pseudomonadale_jump2" 64.91 55.18 9.73 "1" "facultative" NA "water" NA "0"
"Pseudomonadale_jump3" 34.89 40.52 -5.63 "-1" NA "NA|NA|aerobic|aerobic|NA" "host" "NA|NA|wastewater|water|NA" "0"
"Pseudomonadale_jump4" 53.84 63.61 -9.77 "-1" "aerobic" "facultative|NA|NA" "host" "water|NA|NA" "0"
"Pseudomonadale_jump5" 63.49 51.82 11.67 "1" NA "NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|anaerobic|NA|facultative|NA|NA|aerobic|NA|facultative|NA|obligate aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|obligate aerobic|aerobic|NA|aerobic|aerobic|NA|NA|microaerophilic|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA" NA "NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|soil|NA|sediment|NA|sediment|host|NA|host|NA|host|NA|NA|water|NA|NA|soil|NA|NA|host|NA|NA|NA|NA|sediment|water|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|sediment|water|NA|water|host|water|sediment|water|NA|NA|water|sediment|NA|NA|water|NA|NA|water|sediment|NA|water|NA|NA|water|NA|NA|NA|NA|water|NA" "0"
"Pseudomonadale_jump6" 38.37 49.39 -11.02 "-1" NA "NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA" NA "NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA" "0"
"Pseudomonadale_jump7" 36.59 47.98 -11.39 "-1" NA "NA|NA" NA "NA|NA" "0"
"Pseudomonadale_jump8" 48.84 59.72 -10.88 "-1" "obligate aerobic" "NA|obligate aerobic" "host" "NA|sediment" "0"
