"focal_GC" "sister_GC" "delta_GC" "directionGC" "focal_metabolism" "sister_metabolism" "focal_isolation" "sister_isolation" "endoSymb_status"
"Sphingomonadale_jump11" 39.89 54.81 -14.92 "-1" NA NA NA NA "0"
"Rhizobiale_jump1" 56.7 63.61 -6.91 "-1" NA "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA" NA "NA|NA|NA|NA|NA|NA|sediment|NA|NA|NA|NA|NA" "0"
"Rhizobiale_jump2" 49.61 63.09 -13.48 "-1" NA "NA|aerobic|NA|facultative" NA "NA|soil|water|NA" "0"
"Rhizobiale_jump3" 57.11 61.8 -4.69 "-1" "NA|aerobic" "aerobic|aerobic|NA|obligate aerobic" "host|soil" "soil|water|NA|sediment" "0"
"Rhizobiale_jump4" 71.78 64.19 7.59 "1" "facultative" NA "rock" NA "0"
"Rhizobiale_jump5" 60.09 63.34 -3.25 "-1" NA "NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|NA|facultative|facultative|facultative|facultative|facultative|facultative|facultative|facultative|NA|aerobic|NA|NA|facultative|facultative|NA|NA|NA|NA" NA "NA|NA|NA|wastewater|host|NA|NA|host|NA|NA|water|NA|NA|host|NA|NA|NA|NA|NA|NA|host|NA|NA|host|NA|NA|host|NA|NA|NA|host|NA|NA|NA|host|host|NA|host|NA|NA|host|NA|host|NA|host|host|host|soil|host|NA|NA|host|host|host|host|host|soil|NA|host|host|host|NA|NA|NA|NA|host|NA|host|host|NA|soil|NA|NA|NA|NA|host|sediment|sediment|sediment|sediment|sediment|sediment|sediment|sediment|NA|soil|NA|NA|water|NA|NA|NA|NA|NA" "0"
"Rhizobiale_jump6" 69.28 63.34 5.94 "1" "facultative" "NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|NA|facultative|facultative|facultative|facultative|facultative|facultative|facultative|facultative|NA|aerobic|NA|NA|facultative|facultative|NA|NA|NA|NA" "soil" "NA|NA|NA|wastewater|host|NA|NA|host|NA|NA|water|NA|NA|host|NA|NA|NA|NA|NA|NA|host|NA|NA|host|NA|NA|host|NA|NA|NA|host|NA|NA|NA|host|host|NA|host|NA|NA|host|NA|host|NA|host|host|host|soil|host|NA|NA|host|host|host|host|host|soil|NA|host|host|host|NA|NA|NA|NA|host|NA|host|host|NA|soil|NA|NA|NA|NA|host|sediment|sediment|sediment|sediment|sediment|sediment|sediment|sediment|NA|soil|NA|NA|water|NA|NA|NA|NA|NA" "0"
"Rhizobiale_jump7" 52.29 59.8 -7.51 "-1" "aerobic|NA|anaerobic|NA|NA|NA|NA" "NA|NA|aerobic|NA|aerobic|aerobic|aerobic|obligate aerobic|aerobic|aerobic|aerobic|facultative" "water|NA|host|NA|NA|NA|NA" "water|NA|sediment|soil|NA|NA|NA|host|NA|water|NA|NA" "0"
"Rhizobiale_jump8" 47.02 53.29 -6.27 "-1" NA NA NA NA "0"
"Rhizobiale_jump9" 52.09 59.8 -7.70999999999999 "-1" "NA|NA" "NA|NA|aerobic|NA|aerobic|aerobic|aerobic|obligate aerobic|aerobic|aerobic|aerobic|facultative" "NA|NA" "water|NA|sediment|soil|NA|NA|NA|host|NA|water|NA|NA" "0"
