row.names jumpBranch depth nTaxa_focal nTaxa_sis nTaxa_out1 nTaxa_out2
Flavobacteriale_jump66 jump66 1056 outgroup1 1 1 6 31
Flavobacteriale_jump67 jump67 1067 outgroup2 1 1 4 2
Flavobacteriale_jump68 jump68 1099 outgroup2 1 1 2 13
Flavobacteriale_jump69 jump69 1157 outgroup2 1 14 11 1
Flavobacteriale_jump70 jump70 1179 outgroup2 2 2 2 1
Flavobacteriale_jump71 jump71 1186 outgroup1 1 3 27 NA
Flavobacteriale_jump72 jump72 1204 outgroup2 2 1 2 1
Flavobacteriale_jump73 jump73 1213 outgroup1 1 2 537 NA
Pseudomonadale_jump1 jump1 5 outgroup1 1 2 1 114
Pseudomonadale_jump2 jump2 39 outgroup1 1 1 2 98
Pseudomonadale_jump3 jump3 94 outgroup2 1 5 7 4
Pseudomonadale_jump4 jump4 368 outgroup2 1 3 3 9
Pseudomonadale_jump5 jump5 672 outgroup1 1 92 51 NA
Pseudomonadale_jump6 jump6 677 outgroup1 1 13 8 34
Pseudomonadale_jump7 jump7 707 outgroup2 1 2 1 4
Pseudomonadale_jump8 jump8 734 outgroup2 1 2 1 3
Pseudomonadale_jump9 jump9 897 outgroup1 5 179 1 NA
Pseudomonadale_jump10 jump10 908 outgroup1 1 1 177 NA
Pseudomonadale_jump11 jump11 982 outgroup2 1 2 7 7
Pseudomonadale_jump12 jump12 1062 outgroup2 1 8 5 12
Pseudomonadale_jump13 jump13 1232 outgroup2 1 1 1 1
Enterobacterales_jump1 jump1 7 outgroup1 2 1 15 579
Enterobacterales_jump2 jump2 30 outgroup2 1 1 1 6
Enterobacterales_jump3 jump3 38 outgroup2 1 1 2 11
Enterobacterales_jump4 jump4 74 outgroup1 5 24 16 NA
Enterobacterales_jump5 jump5 131 outgroup1 2 115 45 NA
Enterobacterales_jump6 jump6 173 outgroup2 1 4 6 7
Enterobacterales_jump7 jump7 254 outgroup2 1 5 1 3
Enterobacterales_jump8 jump8 331 outgroup2 2 10 2 2
Enterobacterales_jump9 jump9 504 outgroup2 2 1 2 6
Enterobacterales_jump10 jump10 702 outgroup1 2 1 4 127
Enterobacterales_jump11 jump11 708 outgroup2 1 2 1 3
Enterobacterales_jump12 jump12 742 outgroup1 10 6 14 97
Enterobacterales_jump13 jump13 763 outgroup2 1 1 4 10
Enterobacterales_jump14 jump14 771 outgroup2 1 1 1 1
Enterobacterales_jump15 jump15 967 outgroup1 32 3 27 NA
Enterobacterales_jump16 jump16 1055 outgroup1 17 10 35 NA
Enterobacterales_jump17 jump17 1082 outgroup2 1 1 1 1
Enterobacterales_jump18 jump18 1123 outgroup2 2 4 13 17
Betaproteo_jump1 jump1 7 outgroup2 1 2 4 7
Betaproteo_jump2 jump2 12 outgroup2 1 3 3 7
Betaproteo_jump3 jump3 37 outgroup1 1 66 2 NA
Betaproteo_jump4 jump4 50 outgroup1 1 38 1 NA
Betaproteo_jump5 jump5 150 outgroup2 1 1 4 9
Betaproteo_jump6 jump6 343 outgroup1 14 27 85 NA
Betaproteo_jump7 jump7 519 outgroup1 2 18 137 NA
Betaproteo_jump8 jump8 814 outgroup1 2 7 35 NA
Betaproteo_jump9 jump9 833 outgroup1 1 1 1 399
Betaproteo_jump10 jump10 864 outgroup1 5 53 14 NA
Betaproteo_jump11 jump11 895 outgroup2 2 1 2 1
Betaproteo_jump12 jump12 952 outgroup1 3 1 26 NA
Betaproteo_jump13 jump13 1130 outgroup2 1 4 4 1
Betaproteo_jump14 jump14 1136 outgroup2 1 1 2 1
Betaproteo_jump15 jump15 1139 outgroup1 1 55 12 NA
Betaproteo_jump16 jump16 1142 outgroup1 1 2 52 NA
Betaproteo_jump17 jump17 1178 outgroup1 36 16 3 NA
Betaproteo_jump18 jump18 1267 outgroup1 7 24 1 NA
Betaproteo_jump19 jump19 1323 outgroup2 1 2 3 10
Betaproteo_jump20 jump20 1339 outgroup2 1 2 13 3
Betaproteo_jump21 jump21 1454 outgroup2 2 1 3 19
Betaproteo_jump22 jump22 1508 outgroup1 1 14 22 NA
Betaproteo_jump23 jump23 1510 outgroup1 1 13 1 22
Betaproteo_jump24 jump24 1536 focal 2 768 NA NA
